Image_Index,Total_Images,Image_Path,Width,Height,Object_Count,Time_ms
5,24,/app/Datasets/AI4griculture/test/images/1597913693056.jpg,640,640,3,68.9
6,24,/app/Datasets/AI4griculture/test/images/1597922717216.jpg,640,640,2,67.6
8,24,/app/Datasets/AI4griculture/test/images/1597923993611.jpg,640,640,2,67.7
9,24,/app/Datasets/AI4griculture/test/images/1597924240796.jpg,640,640,1,67.7
11,24,/app/Datasets/AI4griculture/test/images/1597934907942.jpg,640,640,1,67.7
12,24,/app/Datasets/AI4griculture/test/images/1598001129497.jpg,640,640,5,67.7
13,24,/app/Datasets/AI4griculture/test/images/1598008270411.jpg,640,640,8,67.8
14,24,/app/Datasets/AI4griculture/test/images/1598011515988.jpg,640,640,17,67.8
15,24,/app/Datasets/AI4griculture/test/images/1598012068631.jpg,640,640,6,67.8
17,24,/app/Datasets/AI4griculture/test/images/1598343615131.jpg,640,640,1,67.8
19,24,/app/Datasets/AI4griculture/test/images/1599031182869.jpg,640,640,2,67.5
20,24,/app/Datasets/AI4griculture/test/images/1600245553180.jpg,640,640,1,67.6
21,24,/app/Datasets/AI4griculture/test/images/1601969690309.jpg,640,640,6,67.5
22,24,/app/Datasets/AI4griculture/test/images/1601980429759.jpg,640,640,1,67.6
24,24,/app/Datasets/AI4griculture/test/images/1606994877322.jpg,640,640,1,67.6
