Image_Index,Total_Images,Image_Path,Width,Height,Object_Count,Time_ms
5,24,/app/Datasets/AI4griculture/test/images/1597913693056.jpg,640,640,3,27.6
6,24,/app/Datasets/AI4griculture/test/images/1597922717216.jpg,640,640,2,29.0
7,24,/app/Datasets/AI4griculture/test/images/1597923601769.jpg,640,640,1,27.5
8,24,/app/Datasets/AI4griculture/test/images/1597923993611.jpg,640,640,2,27.3
9,24,/app/Datasets/AI4griculture/test/images/1597924240796.jpg,640,640,1,27.4
11,24,/app/Datasets/AI4griculture/test/images/1597934907942.jpg,640,640,1,27.7
12,24,/app/Datasets/AI4griculture/test/images/1598001129497.jpg,640,640,4,27.3
13,24,/app/Datasets/AI4griculture/test/images/1598008270411.jpg,640,640,8,27.4
14,24,/app/Datasets/AI4griculture/test/images/1598011515988.jpg,640,640,16,27.7
15,24,/app/Datasets/AI4griculture/test/images/1598012068631.jpg,640,640,5,27.4
17,24,/app/Datasets/AI4griculture/test/images/1598343615131.jpg,640,640,1,27.3
19,24,/app/Datasets/AI4griculture/test/images/1599031182869.jpg,640,640,2,28.7
20,24,/app/Datasets/AI4griculture/test/images/1600245553180.jpg,640,640,1,28.4
21,24,/app/Datasets/AI4griculture/test/images/1601969690309.jpg,640,640,6,28.2
22,24,/app/Datasets/AI4griculture/test/images/1601980429759.jpg,640,640,1,27.3
24,24,/app/Datasets/AI4griculture/test/images/1606994877322.jpg,640,640,1,27.5
