Image_Index,Total_Images,Image_Path,Width,Height,Object_Count,Time_ms
4,28,/app/Datasets/wGrape/test/images/IMG_2554.jpg,640,640,4,67.7
5,28,/app/Datasets/wGrape/test/images/IMG_2561.jpg,640,640,3,67.8
6,28,/app/Datasets/wGrape/test/images/IMG_2568.jpg,640,640,5,68.0
7,28,/app/Datasets/wGrape/test/images/IMG_2570.jpg,640,640,7,67.7
8,28,/app/Datasets/wGrape/test/images/IMG_2592.jpg,640,640,3,72.7
9,28,/app/Datasets/wGrape/test/images/IMG_2900.jpg,640,640,5,67.5
12,28,/app/Datasets/wGrape/test/images/_DSC8864.jpg,640,640,1,72.0
14,28,/app/Datasets/wGrape/test/images/_DSC8890.jpg,640,640,2,67.5
15,28,/app/Datasets/wGrape/test/images/_DSC8903.jpg,640,640,1,70.4
16,28,/app/Datasets/wGrape/test/images/_DSC8914.jpg,640,640,2,67.4
17,28,/app/Datasets/wGrape/test/images/_DSC8925.jpg,640,640,1,67.5
19,28,/app/Datasets/wGrape/test/images/_DSC8968.jpg,640,640,3,67.6
20,28,/app/Datasets/wGrape/test/images/_DSC8969.jpg,640,640,1,68.0
22,28,/app/Datasets/wGrape/test/images/_DSC9130.jpg,640,640,2,67.5
24,28,/app/Datasets/wGrape/test/images/_DSC9304.JPG,640,640,2,67.4
25,28,/app/Datasets/wGrape/test/images/_DSC9305.JPG,640,640,2,67.5
26,28,/app/Datasets/wGrape/test/images/_DSC9312.JPG,640,640,2,67.4
27,28,/app/Datasets/wGrape/test/images/_DSC9325.JPG,640,640,5,67.7
28,28,/app/Datasets/wGrape/test/images/_DSC9340.jpg,640,640,8,67.3
