Image_Index,Total_Images,Image_Path,Width,Height,Object_Count,Time_ms
4,28,/app/Datasets/wGrape/test/images/IMG_2554.jpg,640,640,4,27.4
5,28,/app/Datasets/wGrape/test/images/IMG_2561.jpg,640,640,3,27.6
6,28,/app/Datasets/wGrape/test/images/IMG_2568.jpg,640,640,5,27.4
7,28,/app/Datasets/wGrape/test/images/IMG_2570.jpg,640,640,6,27.5
8,28,/app/Datasets/wGrape/test/images/IMG_2592.jpg,640,640,3,27.4
9,28,/app/Datasets/wGrape/test/images/IMG_2900.jpg,640,640,5,27.4
12,28,/app/Datasets/wGrape/test/images/_DSC8864.jpg,640,640,1,27.4
14,28,/app/Datasets/wGrape/test/images/_DSC8890.jpg,640,640,2,27.5
15,28,/app/Datasets/wGrape/test/images/_DSC8903.jpg,640,640,1,27.2
16,28,/app/Datasets/wGrape/test/images/_DSC8914.jpg,640,640,3,27.5
17,28,/app/Datasets/wGrape/test/images/_DSC8925.jpg,640,640,1,27.4
19,28,/app/Datasets/wGrape/test/images/_DSC8968.jpg,640,640,3,27.4
20,28,/app/Datasets/wGrape/test/images/_DSC8969.jpg,640,640,1,27.4
22,28,/app/Datasets/wGrape/test/images/_DSC9130.jpg,640,640,2,27.3
24,28,/app/Datasets/wGrape/test/images/_DSC9304.JPG,640,640,2,28.2
25,28,/app/Datasets/wGrape/test/images/_DSC9305.JPG,640,640,2,28.1
26,28,/app/Datasets/wGrape/test/images/_DSC9312.JPG,640,640,2,28.3
27,28,/app/Datasets/wGrape/test/images/_DSC9325.JPG,640,640,5,27.3
28,28,/app/Datasets/wGrape/test/images/_DSC9340.jpg,640,640,8,27.2
