Image_Index,Total_Images,Image_Path,Width,Height,Object_Count,Time_ms
1,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1023.png,640,640,2,80.9
2,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1032.png,640,640,2,67.3
3,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/104.png,640,640,4,67.5
4,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1053.png,640,640,2,67.4
5,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1080.png,640,640,1,67.2
6,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1107.png,640,640,3,67.2
7,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/111.png,640,640,4,67.2
8,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1115.png,640,640,2,67.3
9,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1135.png,640,640,2,67.4
10,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1149.png,640,640,3,67.6
11,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1169.png,640,640,1,67.2
12,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1183.png,640,640,3,67.2
13,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1204.png,640,640,2,67.3
14,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1221.png,640,640,5,67.3
15,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1222.png,640,640,3,72.2
16,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1223.png,640,640,2,67.4
17,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1224.png,640,640,2,67.2
18,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1228.png,640,640,1,67.2
19,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1234.png,640,640,5,67.3
20,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1235.png,640,640,3,67.4
21,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1248.png,640,640,2,67.3
22,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1256.png,640,640,1,67.2
23,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1258.png,640,640,3,67.2
24,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1262.png,640,640,3,67.3
25,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1272.png,640,640,4,74.1
26,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1279.png,640,640,1,67.3
27,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1285.png,640,640,1,67.6
28,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1288.png,640,640,1,67.2
29,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1290.png,640,640,1,67.3
30,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1292.png,640,640,1,67.2
31,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/13.png,640,640,3,68.7
32,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1329.png,640,640,2,67.8
33,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1336.png,640,640,6,67.2
34,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1351.png,640,640,1,67.2
35,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1353.png,640,640,6,67.3
36,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1366.png,640,640,3,67.2
37,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1374.png,640,640,1,67.3
38,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1380.png,640,640,2,67.3
39,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1385.png,640,640,1,67.5
