[W826 10:33:13.165333696 OperatorEntry.cpp:218] Warning: Warning only once for all operators,  other operators may also be overridden.
  Overriding a previously registered kernel for the same operator and the same dispatch key
  operator: aten::_addmm_activation(Tensor self, Tensor mat1, Tensor mat2, *, Scalar beta=1, Scalar alpha=1, bool use_gelu=False) -> Tensor
    registered at /pytorch/build/aten/src/ATen/RegisterSchema.cpp:6
  dispatch key: AutocastCPU
  previous kernel: registered at /pytorch/aten/src/ATen/autocast_mode.cpp:327
       new kernel: registered at /opt/workspace/ipex-cpu-dev/csrc/cpu/autocast/autocast_mode.cpp:112 (function operator())
Loading global_model_openvino_model for OpenVINO inference...
Using OpenVINO LATENCY mode for batch=1 inference on CPU...

image 1/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1023.png: 640x640 2 0s, 80.9ms
image 2/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1032.png: 640x640 2 0s, 67.3ms
image 3/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/104.png: 640x640 4 0s, 67.5ms
image 4/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1053.png: 640x640 2 0s, 67.4ms
image 5/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1080.png: 640x640 1 0, 67.2ms
image 6/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1107.png: 640x640 3 0s, 67.2ms
image 7/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/111.png: 640x640 4 0s, 67.2ms
image 8/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1115.png: 640x640 2 0s, 67.3ms
image 9/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1135.png: 640x640 2 0s, 67.4ms
image 10/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1149.png: 640x640 3 0s, 67.6ms
image 11/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1169.png: 640x640 1 0, 67.2ms
image 12/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1183.png: 640x640 3 0s, 67.2ms
image 13/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1204.png: 640x640 2 0s, 67.3ms
image 14/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1221.png: 640x640 5 0s, 67.3ms
image 15/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1222.png: 640x640 3 0s, 72.2ms
image 16/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1223.png: 640x640 2 0s, 67.4ms
image 17/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1224.png: 640x640 2 0s, 67.2ms
image 18/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1228.png: 640x640 1 0, 67.2ms
image 19/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1234.png: 640x640 5 0s, 67.3ms
image 20/251 /app/Datasets/Certh_grape_dataset_reduced/test/images/1235.png: 640x640 3 0s, 67.4ms
