Image_Index,Total_Images,Image_Path,Width,Height,Object_Count,Time_ms
1,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1023.png,640,640,3,32.1
2,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1032.png,640,640,2,27.2
3,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/104.png,640,640,4,27.3
4,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1053.png,640,640,2,27.2
5,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1080.png,640,640,1,27.2
6,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1107.png,640,640,3,27.2
7,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/111.png,640,640,4,27.1
8,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1115.png,640,640,2,27.1
9,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1135.png,640,640,2,27.5
10,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1149.png,640,640,3,27.2
11,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1169.png,640,640,1,27.1
12,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1183.png,640,640,3,27.2
13,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1204.png,640,640,2,27.5
14,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1221.png,640,640,5,27.4
15,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1222.png,640,640,3,27.2
16,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1223.png,640,640,2,27.1
17,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1224.png,640,640,2,27.2
18,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1228.png,640,640,1,27.2
19,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1234.png,640,640,5,27.1
20,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1235.png,640,640,3,27.2
21,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1248.png,640,640,2,27.2
22,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1256.png,640,640,1,27.1
23,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1258.png,640,640,3,27.2
24,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1262.png,640,640,3,27.4
25,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1272.png,640,640,4,27.2
26,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1279.png,640,640,1,27.1
27,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1285.png,640,640,1,27.1
28,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1288.png,640,640,1,27.0
29,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1290.png,640,640,1,27.4
30,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1292.png,640,640,1,27.3
31,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/13.png,640,640,3,27.1
32,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1329.png,640,640,2,28.5
33,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1336.png,640,640,6,27.1
34,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1351.png,640,640,1,27.3
35,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1353.png,640,640,6,27.2
36,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1366.png,640,640,3,27.1
37,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1374.png,640,640,1,27.4
38,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1380.png,640,640,2,27.6
39,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1385.png,640,640,1,27.1
40,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1389.png,640,640,3,27.1
41,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/139.png,640,640,5,28.1
42,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1413.png,640,640,2,28.1
43,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1414.png,640,640,4,27.5
44,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1421.png,640,640,1,27.3
45,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1430.png,640,640,2,27.1
46,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1442.png,640,640,2,27.2
47,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1452.png,640,640,2,28.1
48,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1482.png,640,640,2,27.1
49,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1488.png,640,640,5,27.2
50,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1489.png,640,640,2,27.1
51,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1503.png,640,640,8,27.3
52,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1526.png,640,640,8,27.1
53,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1538.png,640,640,5,27.0
54,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1545.png,640,640,4,27.0
55,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1551.png,640,640,4,27.3
56,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1554.png,640,640,3,27.2
57,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1557.png,640,640,5,27.2
58,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1561.png,640,640,5,27.0
59,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/157.png,640,640,7,27.9
60,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1570.png,640,640,4,27.4
61,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/158.png,640,640,8,27.1
62,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1581.png,640,640,5,27.1
63,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1614.png,640,640,1,27.0
64,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1634.png,640,640,6,28.0
65,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1644.png,640,640,10,27.2
66,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1657.png,640,640,2,27.0
67,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1659.png,640,640,2,27.1
68,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1662.png,640,640,5,27.5
69,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1682.png,640,640,9,27.0
70,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1683.png,640,640,2,28.1
71,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1698.png,640,640,6,27.2
72,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1707.png,640,640,3,27.1
73,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1714.png,640,640,7,27.2
74,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1736.png,640,640,3,27.3
75,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1746.png,640,640,2,27.1
76,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1764.png,640,640,4,27.1
77,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1765.png,640,640,5,27.2
78,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/177.png,640,640,5,27.3
79,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/18.png,640,640,4,27.1
80,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1818.png,640,640,6,26.9
81,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1841.png,640,640,2,27.3
82,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1853.png,640,640,1,27.1
83,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1857.png,640,640,4,27.5
84,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1860.png,640,640,7,27.2
85,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1864.png,640,640,10,27.3
86,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1878.png,640,640,8,27.3
87,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1879.png,640,640,5,27.2
88,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/188.png,640,640,5,27.3
89,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1885.png,640,640,6,27.4
90,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1892.png,640,640,2,27.3
91,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1901.png,640,640,3,27.4
92,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1912.png,640,640,3,27.3
93,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1924.png,640,640,3,27.2
94,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1941.png,640,640,7,27.4
95,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1947.png,640,640,9,27.3
96,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1968.png,640,640,5,27.1
97,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1970.png,640,640,4,27.0
98,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/198.png,640,640,3,27.1
99,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1986.png,640,640,6,27.5
100,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1991.png,640,640,5,27.4
101,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1992.png,640,640,5,27.2
102,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1997.png,640,640,6,27.1
103,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/1998.png,640,640,2,27.0
104,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/2007.png,640,640,5,27.0
105,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/201.png,640,640,6,27.1
106,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/2020.png,640,640,6,27.6
107,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/2059.png,640,640,2,27.2
108,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/2067.png,640,640,2,27.4
109,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/2086.png,640,640,6,27.3
110,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/2087.png,640,640,7,27.2
111,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/2101.png,640,640,2,27.4
112,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/2106.png,640,640,7,27.3
113,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/2109.png,640,640,4,27.4
114,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/211.png,640,640,4,27.1
115,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/2112.png,640,640,4,27.4
116,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/2126.png,640,640,8,27.2
117,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/2139.png,640,640,4,27.2
118,251,/app/Datasets/Certh_grape_dataset_reduced/test/images/2147.png,640,640,5,27.3
