Image_Index,Total_Images,Image_Path,Width,Height,Object_Count,Time_ms
1,43,/app/Datasets/Grapes_dataset/test/images/IMG_6405_JPG.rf.5778f94d47a8ccebbcd62ee7938198ea.jpg,640,640,8,32.3
2,43,/app/Datasets/Grapes_dataset/test/images/IMG_6408_JPG.rf.5e51be96eeb3082e522c901c8e51537b.jpg,640,640,9,28.5
3,43,/app/Datasets/Grapes_dataset/test/images/IMG_6413_JPG.rf.88b07f7bd926497dcb45584b129107a0.jpg,640,640,5,29.2
4,43,/app/Datasets/Grapes_dataset/test/images/IMG_6417_JPG.rf.a6380ea99922dada052ccc32a6f223c1.jpg,640,640,7,32.1
5,43,/app/Datasets/Grapes_dataset/test/images/IMG_6420_JPG.rf.1eef32fad76e5da83f96187d8d238e6c.jpg,640,640,6,28.4
6,43,/app/Datasets/Grapes_dataset/test/images/IMG_6426_JPG.rf.437b7ad4b25a8cd0a06dd36937a03020.jpg,640,640,5,28.6
7,43,/app/Datasets/Grapes_dataset/test/images/IMG_6427_JPG.rf.a76cbdce33f82a0c1a8c9b445cb6efc1.jpg,640,640,3,28.4
8,43,/app/Datasets/Grapes_dataset/test/images/IMG_6430_JPG.rf.b28ae1cc38b6469d11c1b81ad02e37a0.jpg,640,640,8,28.4
9,43,/app/Datasets/Grapes_dataset/test/images/IMG_6433_JPG.rf.674fcd1d3cc01aca4847e6dc0db98690.jpg,640,640,1,28.4
10,43,/app/Datasets/Grapes_dataset/test/images/IMG_6433_JPG.rf.f7f22ec182e54f6b46a006eef7e51011.jpg,640,640,1,28.8
11,43,/app/Datasets/Grapes_dataset/test/images/IMG_6443_JPG.rf.e728ca6462e490237511e687908ecee1.jpg,640,640,7,27.4
12,43,/app/Datasets/Grapes_dataset/test/images/IMG_6448_JPG.rf.93f3f5fa77e7ba4871768427033a6df5.jpg,640,640,7,27.5
13,43,/app/Datasets/Grapes_dataset/test/images/IMG_6452_JPG.rf.b3fa580300b452a7feafc5b47276f5cb.jpg,640,640,9,27.7
14,43,/app/Datasets/Grapes_dataset/test/images/IMG_6470_JPG.rf.ff1618026ee25985589863fa1d5a9829.jpg,640,640,7,28.0
15,43,/app/Datasets/Grapes_dataset/test/images/IMG_6474_JPG.rf.33f69d903d6599a0d96f5db828f28301.jpg,640,640,1,31.5
16,43,/app/Datasets/Grapes_dataset/test/images/IMG_6477_JPG.rf.3071e65a5febe049fd6d15806f9aa11b.jpg,640,640,4,30.9
17,43,/app/Datasets/Grapes_dataset/test/images/IMG_6478_JPG.rf.decb50d33c830d3ce18294059c58be9d.jpg,640,640,6,28.6
18,43,/app/Datasets/Grapes_dataset/test/images/IMG_6481_JPG.rf.ac3c074ec4901b36c7dc01af15d39691.jpg,640,640,4,28.3
19,43,/app/Datasets/Grapes_dataset/test/images/IMG_6489_JPG.rf.657b0ffda27b56775ec778e8600958e7.jpg,640,640,9,28.4
20,43,/app/Datasets/Grapes_dataset/test/images/IMG_6494_JPG.rf.ae7d93550ad0280cda55b501c9e17ba8.jpg,640,640,3,28.6
21,43,/app/Datasets/Grapes_dataset/test/images/IMG_6495_JPG.rf.6879aad9340b6c870c03dc2eec7b3ca4.jpg,640,640,1,28.5
22,43,/app/Datasets/Grapes_dataset/test/images/IMG_6501_JPG.rf.f1780b103d3776b056974bb76a203e08.jpg,640,640,3,28.4
23,43,/app/Datasets/Grapes_dataset/test/images/IMG_6503_JPG.rf.3beaa28be5b585de38b2ec8d206d70a2.jpg,640,640,4,28.5
24,43,/app/Datasets/Grapes_dataset/test/images/IMG_6505_JPG.rf.6273d346d3d4e1ee74428567a68eaf9e.jpg,640,640,3,28.4
25,43,/app/Datasets/Grapes_dataset/test/images/IMG_6506_JPG.rf.5d3fdc29c731c94953dfd835f7d3968d.jpg,640,640,5,28.7
