Image_Index,Total_Images,Image_Path,Width,Height,Object_Count,Time_ms
1,10,/app/Datasets/grapevinebunchdetection_reduced/test/images/angle-15_IMG_20220721_101402_1.jpg,640,640,1,71.3
2,10,/app/Datasets/grapevinebunchdetection_reduced/test/images/angle-15_IMG_20220721_101453.jpg,640,640,1,68.6
3,10,/app/Datasets/grapevinebunchdetection_reduced/test/images/angle-15_IMG_20220721_103447_1.jpg,640,640,1,68.3
4,10,/app/Datasets/grapevinebunchdetection_reduced/test/images/angle-15_IMG_20220721_103522.jpg,640,640,1,68.4
5,10,/app/Datasets/grapevinebunchdetection_reduced/test/images/angle-15_IMG_20220721_103529_1.jpg,640,640,1,68.2
6,10,/app/Datasets/grapevinebunchdetection_reduced/test/images/angle15_IMG_20220721_101402_1.jpg,640,640,1,68.5
7,10,/app/Datasets/grapevinebunchdetection_reduced/test/images/angle15_IMG_20220721_101453.jpg,640,640,1,68.3
8,10,/app/Datasets/grapevinebunchdetection_reduced/test/images/angle15_IMG_20220721_103447_1.jpg,640,640,1,68.3
9,10,/app/Datasets/grapevinebunchdetection_reduced/test/images/angle15_IMG_20220721_103522.jpg,640,640,1,68.5
10,10,/app/Datasets/grapevinebunchdetection_reduced/test/images/angle15_IMG_20220721_103529_1.jpg,640,640,1,68.2
