Image_Index,Total_Images,Image_Path,Width,Height,Object_Count,Time_ms
1,96,/app/Datasets/Green_grapes/test/images/105.png,640,640,3,32.6
2,96,/app/Datasets/Green_grapes/test/images/116.png,640,640,3,28.0
3,96,/app/Datasets/Green_grapes/test/images/140.png,640,640,2,27.7
4,96,/app/Datasets/Green_grapes/test/images/176.png,640,640,1,27.8
5,96,/app/Datasets/Green_grapes/test/images/179.png,640,640,2,27.9
6,96,/app/Datasets/Green_grapes/test/images/189.png,640,640,3,27.7
7,96,/app/Datasets/Green_grapes/test/images/192.png,640,640,4,27.8
8,96,/app/Datasets/Green_grapes/test/images/193.png,640,640,4,27.8
9,96,/app/Datasets/Green_grapes/test/images/199.png,640,640,4,27.8
10,96,/app/Datasets/Green_grapes/test/images/24.png,640,640,7,27.7
11,96,/app/Datasets/Green_grapes/test/images/280.png,640,640,1,27.8
12,96,/app/Datasets/Green_grapes/test/images/281.png,640,640,2,28.6
13,96,/app/Datasets/Green_grapes/test/images/282.png,640,640,4,28.9
14,96,/app/Datasets/Green_grapes/test/images/300.png,640,640,2,28.9
15,96,/app/Datasets/Green_grapes/test/images/302.png,640,640,2,28.7
16,96,/app/Datasets/Green_grapes/test/images/303.png,640,640,4,27.8
17,96,/app/Datasets/Green_grapes/test/images/307.png,640,640,3,27.6
18,96,/app/Datasets/Green_grapes/test/images/31.png,640,640,6,28.6
19,96,/app/Datasets/Green_grapes/test/images/310.png,640,640,2,28.5
20,96,/app/Datasets/Green_grapes/test/images/316.png,640,640,7,28.8
21,96,/app/Datasets/Green_grapes/test/images/323.png,640,640,5,28.7
22,96,/app/Datasets/Green_grapes/test/images/325.png,640,640,3,28.7
23,96,/app/Datasets/Green_grapes/test/images/333.png,640,640,2,28.7
24,96,/app/Datasets/Green_grapes/test/images/339.png,640,640,3,28.6
25,96,/app/Datasets/Green_grapes/test/images/342.png,640,640,4,28.7
26,96,/app/Datasets/Green_grapes/test/images/345.png,640,640,3,28.8
27,96,/app/Datasets/Green_grapes/test/images/350.png,640,640,3,27.6
28,96,/app/Datasets/Green_grapes/test/images/362.png,640,640,7,27.7
29,96,/app/Datasets/Green_grapes/test/images/373.png,640,640,6,27.6
30,96,/app/Datasets/Green_grapes/test/images/379.png,640,640,3,27.6
31,96,/app/Datasets/Green_grapes/test/images/389.png,640,640,4,27.7
32,96,/app/Datasets/Green_grapes/test/images/420.png,640,640,6,27.6
33,96,/app/Datasets/Green_grapes/test/images/428.png,640,640,3,27.6
34,96,/app/Datasets/Green_grapes/test/images/430.png,640,640,6,27.5
35,96,/app/Datasets/Green_grapes/test/images/434.png,640,640,4,27.6
36,96,/app/Datasets/Green_grapes/test/images/442.png,640,640,5,27.6
37,96,/app/Datasets/Green_grapes/test/images/452.png,640,640,9,27.6
38,96,/app/Datasets/Green_grapes/test/images/457.png,640,640,4,28.6
39,96,/app/Datasets/Green_grapes/test/images/464.png,640,640,6,28.6
40,96,/app/Datasets/Green_grapes/test/images/472.png,640,640,2,28.7
41,96,/app/Datasets/Green_grapes/test/images/479.png,640,640,7,28.4
42,96,/app/Datasets/Green_grapes/test/images/486.png,640,640,5,28.4
43,96,/app/Datasets/Green_grapes/test/images/491.png,640,640,3,28.5
44,96,/app/Datasets/Green_grapes/test/images/500.png,640,640,3,28.9
45,96,/app/Datasets/Green_grapes/test/images/503.png,640,640,4,28.5
46,96,/app/Datasets/Green_grapes/test/images/508.png,640,640,3,28.6
47,96,/app/Datasets/Green_grapes/test/images/530.png,640,640,5,28.4
48,96,/app/Datasets/Green_grapes/test/images/540.png,640,640,3,28.5
49,96,/app/Datasets/Green_grapes/test/images/546.png,640,640,5,28.5
50,96,/app/Datasets/Green_grapes/test/images/547.png,640,640,6,28.6
51,96,/app/Datasets/Green_grapes/test/images/55.png,640,640,6,28.6
52,96,/app/Datasets/Green_grapes/test/images/563.png,640,640,6,28.5
53,96,/app/Datasets/Green_grapes/test/images/569.png,640,640,6,28.5
54,96,/app/Datasets/Green_grapes/test/images/573.png,640,640,4,28.5
55,96,/app/Datasets/Green_grapes/test/images/597.png,640,640,3,28.6
56,96,/app/Datasets/Green_grapes/test/images/600.png,640,640,3,28.5
57,96,/app/Datasets/Green_grapes/test/images/627.png,640,640,4,28.6
58,96,/app/Datasets/Green_grapes/test/images/629.png,640,640,3,28.5
59,96,/app/Datasets/Green_grapes/test/images/634.png,640,640,1,28.5
60,96,/app/Datasets/Green_grapes/test/images/638.png,640,640,3,28.6
61,96,/app/Datasets/Green_grapes/test/images/66.png,640,640,3,28.5
62,96,/app/Datasets/Green_grapes/test/images/674.png,640,640,1,28.5
63,96,/app/Datasets/Green_grapes/test/images/681.png,640,640,2,28.5
64,96,/app/Datasets/Green_grapes/test/images/690.png,640,640,2,28.5
65,96,/app/Datasets/Green_grapes/test/images/702.png,640,640,5,28.5
66,96,/app/Datasets/Green_grapes/test/images/708.png,640,640,4,28.5
67,96,/app/Datasets/Green_grapes/test/images/711.png,640,640,3,28.6
68,96,/app/Datasets/Green_grapes/test/images/728.png,640,640,1,28.7
69,96,/app/Datasets/Green_grapes/test/images/73.png,640,640,1,28.5
70,96,/app/Datasets/Green_grapes/test/images/732.png,640,640,2,27.5
71,96,/app/Datasets/Green_grapes/test/images/741.png,640,640,2,28.5
72,96,/app/Datasets/Green_grapes/test/images/759.png,640,640,1,28.5
73,96,/app/Datasets/Green_grapes/test/images/761.png,640,640,2,28.5
74,96,/app/Datasets/Green_grapes/test/images/763.png,640,640,1,28.6
