Image_Index,Total_Images,Image_Path,Width,Height,Object_Count,Time_ms
1,100,/app/Datasets/Purple_grapes/test/images/1002.png,640,640,1,82.0
2,100,/app/Datasets/Purple_grapes/test/images/1029.png,640,640,2,68.1
3,100,/app/Datasets/Purple_grapes/test/images/1038.png,640,640,5,68.0
4,100,/app/Datasets/Purple_grapes/test/images/1073.png,640,640,4,68.3
5,100,/app/Datasets/Purple_grapes/test/images/1083.png,640,640,3,68.8
6,100,/app/Datasets/Purple_grapes/test/images/1100.png,640,640,6,68.0
7,100,/app/Datasets/Purple_grapes/test/images/1112.png,640,640,5,68.1
8,100,/app/Datasets/Purple_grapes/test/images/1118.png,640,640,4,68.2
9,100,/app/Datasets/Purple_grapes/test/images/1143.png,640,640,2,68.3
10,100,/app/Datasets/Purple_grapes/test/images/1156.png,640,640,2,68.3
11,100,/app/Datasets/Purple_grapes/test/images/1175.png,640,640,6,68.0
12,100,/app/Datasets/Purple_grapes/test/images/1179.png,640,640,8,68.0
13,100,/app/Datasets/Purple_grapes/test/images/1182.png,640,640,1,67.8
14,100,/app/Datasets/Purple_grapes/test/images/1184.png,640,640,6,67.9
15,100,/app/Datasets/Purple_grapes/test/images/1185.png,640,640,4,68.2
16,100,/app/Datasets/Purple_grapes/test/images/1188.png,640,640,4,67.9
17,100,/app/Datasets/Purple_grapes/test/images/1194.png,640,640,5,67.9
18,100,/app/Datasets/Purple_grapes/test/images/1197.png,640,640,3,68.1
19,100,/app/Datasets/Purple_grapes/test/images/1207.png,640,640,2,67.9
20,100,/app/Datasets/Purple_grapes/test/images/1209.png,640,640,7,68.2
21,100,/app/Datasets/Purple_grapes/test/images/1214.png,640,640,2,68.7
22,100,/app/Datasets/Purple_grapes/test/images/1229.png,640,640,4,68.1
23,100,/app/Datasets/Purple_grapes/test/images/1231.png,640,640,3,68.1
24,100,/app/Datasets/Purple_grapes/test/images/1232.png,640,640,3,68.1
25,100,/app/Datasets/Purple_grapes/test/images/1275.png,640,640,3,68.0
26,100,/app/Datasets/Purple_grapes/test/images/1286.png,640,640,4,68.0
27,100,/app/Datasets/Purple_grapes/test/images/1304.png,640,640,4,68.1
28,100,/app/Datasets/Purple_grapes/test/images/1310.png,640,640,7,69.3
29,100,/app/Datasets/Purple_grapes/test/images/1314.png,640,640,5,74.5
30,100,/app/Datasets/Purple_grapes/test/images/1315.png,640,640,5,68.3
