[W827 12:51:53.461984051 OperatorEntry.cpp:218] Warning: Warning only once for all operators,  other operators may also be overridden.
  Overriding a previously registered kernel for the same operator and the same dispatch key
  operator: aten::_addmm_activation(Tensor self, Tensor mat1, Tensor mat2, *, Scalar beta=1, Scalar alpha=1, bool use_gelu=False) -> Tensor
    registered at /pytorch/build/aten/src/ATen/RegisterSchema.cpp:6
  dispatch key: AutocastCPU
  previous kernel: registered at /pytorch/aten/src/ATen/autocast_mode.cpp:327
       new kernel: registered at /opt/workspace/ipex-cpu-dev/csrc/cpu/autocast/autocast_mode.cpp:112 (function operator())
Loading global_model_openvino_model for OpenVINO inference...
Using OpenVINO LATENCY mode for batch=1 inference on CPU...

image 1/100 /app/Datasets/Purple_grapes/test/images/1002.png: 640x640 1 0, 82.0ms
image 2/100 /app/Datasets/Purple_grapes/test/images/1029.png: 640x640 2 0s, 68.1ms
image 3/100 /app/Datasets/Purple_grapes/test/images/1038.png: 640x640 5 0s, 68.0ms
image 4/100 /app/Datasets/Purple_grapes/test/images/1073.png: 640x640 4 0s, 68.3ms
image 5/100 /app/Datasets/Purple_grapes/test/images/1083.png: 640x640 3 0s, 68.8ms
image 6/100 /app/Datasets/Purple_grapes/test/images/1100.png: 640x640 6 0s, 68.0ms
image 7/100 /app/Datasets/Purple_grapes/test/images/1112.png: 640x640 5 0s, 68.1ms
image 8/100 /app/Datasets/Purple_grapes/test/images/1118.png: 640x640 4 0s, 68.2ms
image 9/100 /app/Datasets/Purple_grapes/test/images/1143.png: 640x640 2 0s, 68.3ms
image 10/100 /app/Datasets/Purple_grapes/test/images/1156.png: 640x640 2 0s, 68.3ms
image 11/100 /app/Datasets/Purple_grapes/test/images/1175.png: 640x640 6 0s, 68.0ms
image 12/100 /app/Datasets/Purple_grapes/test/images/1179.png: 640x640 8 0s, 68.0ms
image 13/100 /app/Datasets/Purple_grapes/test/images/1182.png: 640x640 1 0, 67.8ms
image 14/100 /app/Datasets/Purple_grapes/test/images/1184.png: 640x640 6 0s, 67.9ms
image 15/100 /app/Datasets/Purple_grapes/test/images/1185.png: 640x640 4 0s, 68.2ms
image 16/100 /app/Datasets/Purple_grapes/test/images/1188.png: 640x640 4 0s, 67.9ms
image 17/100 /app/Datasets/Purple_grapes/test/images/1194.png: 640x640 5 0s, 67.9ms
image 18/100 /app/Datasets/Purple_grapes/test/images/1197.png: 640x640 3 0s, 68.1ms
image 19/100 /app/Datasets/Purple_grapes/test/images/1207.png: 640x640 2 0s, 67.9ms
image 20/100 /app/Datasets/Purple_grapes/test/images/1209.png: 640x640 7 0s, 68.2ms
image 21/100 /app/Datasets/Purple_grapes/test/images/1214.png: 640x640 2 0s, 68.7ms
image 22/100 /app/Datasets/Purple_grapes/test/images/1229.png: 640x640 4 0s, 68.1ms
image 23/100 /app/Datasets/Purple_grapes/test/images/1231.png: 640x640 3 0s, 68.1ms
image 24/100 /app/Datasets/Purple_grapes/test/images/1232.png: 640x640 3 0s, 68.1ms
image 25/100 /app/Datasets/Purple_grapes/test/images/1275.png: 640x640 3 0s, 68.0ms
image 26/100 /app/Datasets/Purple_grapes/test/images/1286.png: 640x640 4 0s, 68.0ms
image 27/100 /app/Datasets/Purple_grapes/test/images/1304.png: 640x640 4 0s, 68.1ms
image 28/100 /app/Datasets/Purple_grapes/test/images/1310.png: 640x640 7 0s, 69.3ms
image 29/100 /app/Datasets/Purple_grapes/test/images/1314.png: 640x640 5 0s, 74.5ms
image 30/100 /app/Datasets/Purple_grapes/test/images/1315.png: 640x640 5 0s, 68.3ms
image 31/100 /app/Datasets/Purple_grapes/test/images/1318.png: 640x640 5 0s, 68.0ms
image 32/100 /app/Datasets/Purple_grapes/test/images/1325.png: 640x640 8 0s, 68.2ms
image 33/100 /app/Datasets/Purple_grapes/test/images/1335.png: 640x640 5 0s, 68.2ms
image 34/100 /app/Datasets/Purple_grapes/test/images/1336.png: 640x640 3 0s, 68.2ms
image 35/100 /app/Datasets/Purple_grapes/test/images/1346.png: 640x640 2 0s, 68.1ms
image 36/100 /app/Datasets/Purple_grapes/test/images/1359.png: 640x640 7 0s, 68.1ms
image 37/100 /app/Datasets/Purple_grapes/test/images/1378.png: 640x640 7 0s, 68.4ms
image 38/100 /app/Datasets/Purple_grapes/test/images/1396.png: 640x640 6 0s, 68.2ms
image 39/100 /app/Datasets/Purple_grapes/test/images/1410.png: 640x640 9 0s, 68.2ms
image 40/100 /app/Datasets/Purple_grapes/test/images/1416.png: 640x640 3 0s, 68.2ms
image 41/100 /app/Datasets/Purple_grapes/test/images/1436.png: 640x640 7 0s, 68.3ms
image 42/100 /app/Datasets/Purple_grapes/test/images/1439.png: 640x640 5 0s, 68.6ms
image 43/100 /app/Datasets/Purple_grapes/test/images/1455.png: 640x640 4 0s, 68.2ms
image 44/100 /app/Datasets/Purple_grapes/test/images/1457.png: 640x640 4 0s, 68.2ms
image 45/100 /app/Datasets/Purple_grapes/test/images/1473.png: 640x640 6 0s, 68.2ms
image 46/100 /app/Datasets/Purple_grapes/test/images/1481.png: 640x640 4 0s, 68.2ms
image 47/100 /app/Datasets/Purple_grapes/test/images/1500.png: 640x640 4 0s, 68.2ms
image 48/100 /app/Datasets/Purple_grapes/test/images/1502.png: 640x640 3 0s, 68.1ms
image 49/100 /app/Datasets/Purple_grapes/test/images/1507.png: 640x640 5 0s, 68.1ms
image 50/100 /app/Datasets/Purple_grapes/test/images/1508.png: 640x640 3 0s, 68.6ms
image 51/100 /app/Datasets/Purple_grapes/test/images/1512.png: 640x640 1 0, 68.2ms
image 52/100 /app/Datasets/Purple_grapes/test/images/1517.png: 640x640 4 0s, 68.1ms
image 53/100 /app/Datasets/Purple_grapes/test/images/1533.png: 640x640 2 0s, 68.3ms
image 54/100 /app/Datasets/Purple_grapes/test/images/1536.png: 640x640 2 0s, 68.2ms
image 55/100 /app/Datasets/Purple_grapes/test/images/1546.png: 640x640 4 0s, 68.2ms
image 56/100 /app/Datasets/Purple_grapes/test/images/1554.png: 640x640 2 0s, 68.1ms
image 57/100 /app/Datasets/Purple_grapes/test/images/1558.png: 640x640 4 0s, 68.1ms
image 58/100 /app/Datasets/Purple_grapes/test/images/1563.png: 640x640 5 0s, 69.2ms
image 59/100 /app/Datasets/Purple_grapes/test/images/1569.png: 640x640 7 0s, 68.2ms
image 60/100 /app/Datasets/Purple_grapes/test/images/1576.png: 640x640 7 0s, 68.3ms
image 61/100 /app/Datasets/Purple_grapes/test/images/1600.png: 640x640 4 0s, 68.2ms
image 62/100 /app/Datasets/Purple_grapes/test/images/1608.png: 640x640 6 0s, 68.3ms
image 63/100 /app/Datasets/Purple_grapes/test/images/1610.png: 640x640 5 0s, 68.3ms
image 64/100 /app/Datasets/Purple_grapes/test/images/1642.png: 640x640 6 0s, 68.2ms
image 65/100 /app/Datasets/Purple_grapes/test/images/1665.png: 640x640 7 0s, 68.1ms
image 66/100 /app/Datasets/Purple_grapes/test/images/1676.png: 640x640 3 0s, 68.3ms
image 67/100 /app/Datasets/Purple_grapes/test/images/1690.png: 640x640 7 0s, 68.2ms
image 68/100 /app/Datasets/Purple_grapes/test/images/1700.png: 640x640 6 0s, 68.1ms
image 69/100 /app/Datasets/Purple_grapes/test/images/1727.png: 640x640 3 0s, 69.4ms
image 70/100 /app/Datasets/Purple_grapes/test/images/1729.png: 640x640 6 0s, 68.1ms
image 71/100 /app/Datasets/Purple_grapes/test/images/1730.png: 640x640 1 0, 71.7ms
image 72/100 /app/Datasets/Purple_grapes/test/images/1745.png: 640x640 7 0s, 68.1ms
image 73/100 /app/Datasets/Purple_grapes/test/images/1756.png: 640x640 5 0s, 68.2ms
image 74/100 /app/Datasets/Purple_grapes/test/images/1764.png: 640x640 5 0s, 68.3ms
image 75/100 /app/Datasets/Purple_grapes/test/images/1770.png: 640x640 7 0s, 68.1ms
image 76/100 /app/Datasets/Purple_grapes/test/images/1780.png: 640x640 3 0s, 68.1ms
image 77/100 /app/Datasets/Purple_grapes/test/images/1785.png: 640x640 6 0s, 68.1ms
image 78/100 /app/Datasets/Purple_grapes/test/images/1795.png: 640x640 5 0s, 68.1ms
image 79/100 /app/Datasets/Purple_grapes/test/images/1804.png: 640x640 6 0s, 68.7ms
image 80/100 /app/Datasets/Purple_grapes/test/images/1825.png: 640x640 4 0s, 68.2ms
image 81/100 /app/Datasets/Purple_grapes/test/images/1832.png: 640x640 5 0s, 68.1ms
image 82/100 /app/Datasets/Purple_grapes/test/images/1833.png: 640x640 4 0s, 68.2ms
image 83/100 /app/Datasets/Purple_grapes/test/images/1857.png: 640x640 5 0s, 68.2ms
image 84/100 /app/Datasets/Purple_grapes/test/images/1869.png: 640x640 9 0s, 68.6ms
image 85/100 /app/Datasets/Purple_grapes/test/images/1878.png: 640x640 1 0, 68.3ms
image 86/100 /app/Datasets/Purple_grapes/test/images/1884.png: 640x640 5 0s, 68.2ms
image 87/100 /app/Datasets/Purple_grapes/test/images/1890.png: 640x640 8 0s, 68.2ms
image 88/100 /app/Datasets/Purple_grapes/test/images/1891.png: 640x640 7 0s, 68.2ms
image 89/100 /app/Datasets/Purple_grapes/test/images/1905.png: 640x640 3 0s, 68.1ms
image 90/100 /app/Datasets/Purple_grapes/test/images/1914.png: 640x640 6 0s, 68.2ms
image 91/100 /app/Datasets/Purple_grapes/test/images/1920.png: 640x640 8 0s, 68.3ms
image 92/100 /app/Datasets/Purple_grapes/test/images/1930.png: 640x640 8 0s, 68.2ms
image 93/100 /app/Datasets/Purple_grapes/test/images/1949.png: 640x640 4 0s, 68.2ms
image 94/100 /app/Datasets/Purple_grapes/test/images/955.png: 640x640 3 0s, 68.1ms
image 95/100 /app/Datasets/Purple_grapes/test/images/959.png: 640x640 2 0s, 68.6ms
image 96/100 /app/Datasets/Purple_grapes/test/images/961.png: 640x640 3 0s, 68.3ms
image 97/100 /app/Datasets/Purple_grapes/test/images/987.png: 640x640 1 0, 68.2ms
image 98/100 /app/Datasets/Purple_grapes/test/images/989.png: 640x640 6 0s, 68.2ms
image 99/100 /app/Datasets/Purple_grapes/test/images/991.png: 640x640 2 0s, 68.1ms
image 100/100 /app/Datasets/Purple_grapes/test/images/997.png: 640x640 2 0s, 69.0ms
Speed: 1.7ms preprocess, 68.5ms inference, 0.8ms postprocess per image at shape (1, 3, 640, 640)
Results saved to [1mruns/detect/predict[0m
Inference complete. Results saved to inference_benchmark_results.csv
