Image_Index,Total_Images,Image_Path,Width,Height,Object_Count,Time_ms
1,100,/app/Datasets/Purple_grapes/test/images/1002.png,640,640,1,32.5
2,100,/app/Datasets/Purple_grapes/test/images/1029.png,640,640,2,27.6
3,100,/app/Datasets/Purple_grapes/test/images/1038.png,640,640,5,27.7
4,100,/app/Datasets/Purple_grapes/test/images/1073.png,640,640,4,27.7
5,100,/app/Datasets/Purple_grapes/test/images/1083.png,640,640,3,27.8
6,100,/app/Datasets/Purple_grapes/test/images/1100.png,640,640,6,27.8
7,100,/app/Datasets/Purple_grapes/test/images/1112.png,640,640,5,27.7
8,100,/app/Datasets/Purple_grapes/test/images/1118.png,640,640,4,27.6
9,100,/app/Datasets/Purple_grapes/test/images/1143.png,640,640,2,28.6
10,100,/app/Datasets/Purple_grapes/test/images/1156.png,640,640,2,28.5
11,100,/app/Datasets/Purple_grapes/test/images/1175.png,640,640,6,27.9
12,100,/app/Datasets/Purple_grapes/test/images/1179.png,640,640,8,27.8
13,100,/app/Datasets/Purple_grapes/test/images/1182.png,640,640,1,27.8
14,100,/app/Datasets/Purple_grapes/test/images/1184.png,640,640,6,27.9
15,100,/app/Datasets/Purple_grapes/test/images/1185.png,640,640,4,27.8
16,100,/app/Datasets/Purple_grapes/test/images/1188.png,640,640,4,27.8
17,100,/app/Datasets/Purple_grapes/test/images/1194.png,640,640,5,27.8
18,100,/app/Datasets/Purple_grapes/test/images/1197.png,640,640,3,28.0
19,100,/app/Datasets/Purple_grapes/test/images/1207.png,640,640,2,27.5
20,100,/app/Datasets/Purple_grapes/test/images/1209.png,640,640,7,27.8
21,100,/app/Datasets/Purple_grapes/test/images/1214.png,640,640,2,27.7
22,100,/app/Datasets/Purple_grapes/test/images/1229.png,640,640,4,27.8
23,100,/app/Datasets/Purple_grapes/test/images/1231.png,640,640,3,27.9
24,100,/app/Datasets/Purple_grapes/test/images/1232.png,640,640,3,27.7
25,100,/app/Datasets/Purple_grapes/test/images/1275.png,640,640,3,27.7
26,100,/app/Datasets/Purple_grapes/test/images/1286.png,640,640,5,27.7
27,100,/app/Datasets/Purple_grapes/test/images/1304.png,640,640,4,27.8
28,100,/app/Datasets/Purple_grapes/test/images/1310.png,640,640,7,27.8
29,100,/app/Datasets/Purple_grapes/test/images/1314.png,640,640,5,27.7
30,100,/app/Datasets/Purple_grapes/test/images/1315.png,640,640,5,27.7
31,100,/app/Datasets/Purple_grapes/test/images/1318.png,640,640,5,27.7
32,100,/app/Datasets/Purple_grapes/test/images/1325.png,640,640,8,27.7
33,100,/app/Datasets/Purple_grapes/test/images/1335.png,640,640,5,27.7
34,100,/app/Datasets/Purple_grapes/test/images/1336.png,640,640,3,29.0
35,100,/app/Datasets/Purple_grapes/test/images/1346.png,640,640,2,27.7
36,100,/app/Datasets/Purple_grapes/test/images/1359.png,640,640,7,27.6
37,100,/app/Datasets/Purple_grapes/test/images/1378.png,640,640,7,27.6
38,100,/app/Datasets/Purple_grapes/test/images/1396.png,640,640,6,27.7
39,100,/app/Datasets/Purple_grapes/test/images/1410.png,640,640,9,27.7
40,100,/app/Datasets/Purple_grapes/test/images/1416.png,640,640,3,27.9
41,100,/app/Datasets/Purple_grapes/test/images/1436.png,640,640,7,27.7
42,100,/app/Datasets/Purple_grapes/test/images/1439.png,640,640,5,27.6
43,100,/app/Datasets/Purple_grapes/test/images/1455.png,640,640,4,27.6
44,100,/app/Datasets/Purple_grapes/test/images/1457.png,640,640,4,27.7
45,100,/app/Datasets/Purple_grapes/test/images/1473.png,640,640,6,27.6
46,100,/app/Datasets/Purple_grapes/test/images/1481.png,640,640,4,27.6
47,100,/app/Datasets/Purple_grapes/test/images/1500.png,640,640,4,27.6
48,100,/app/Datasets/Purple_grapes/test/images/1502.png,640,640,3,27.7
49,100,/app/Datasets/Purple_grapes/test/images/1507.png,640,640,5,27.5
50,100,/app/Datasets/Purple_grapes/test/images/1508.png,640,640,3,27.6
51,100,/app/Datasets/Purple_grapes/test/images/1512.png,640,640,1,27.8
52,100,/app/Datasets/Purple_grapes/test/images/1517.png,640,640,4,27.7
53,100,/app/Datasets/Purple_grapes/test/images/1533.png,640,640,2,27.5
54,100,/app/Datasets/Purple_grapes/test/images/1536.png,640,640,2,27.6
55,100,/app/Datasets/Purple_grapes/test/images/1546.png,640,640,4,27.7
56,100,/app/Datasets/Purple_grapes/test/images/1554.png,640,640,2,27.7
57,100,/app/Datasets/Purple_grapes/test/images/1558.png,640,640,4,27.7
58,100,/app/Datasets/Purple_grapes/test/images/1563.png,640,640,5,27.6
59,100,/app/Datasets/Purple_grapes/test/images/1569.png,640,640,7,27.6
60,100,/app/Datasets/Purple_grapes/test/images/1576.png,640,640,7,27.8
61,100,/app/Datasets/Purple_grapes/test/images/1600.png,640,640,4,27.8
62,100,/app/Datasets/Purple_grapes/test/images/1608.png,640,640,6,27.7
63,100,/app/Datasets/Purple_grapes/test/images/1610.png,640,640,5,27.4
64,100,/app/Datasets/Purple_grapes/test/images/1642.png,640,640,6,27.7
65,100,/app/Datasets/Purple_grapes/test/images/1665.png,640,640,7,27.5
66,100,/app/Datasets/Purple_grapes/test/images/1676.png,640,640,3,27.9
67,100,/app/Datasets/Purple_grapes/test/images/1690.png,640,640,7,27.9
68,100,/app/Datasets/Purple_grapes/test/images/1700.png,640,640,6,28.0
69,100,/app/Datasets/Purple_grapes/test/images/1727.png,640,640,3,28.0
70,100,/app/Datasets/Purple_grapes/test/images/1729.png,640,640,6,27.8
71,100,/app/Datasets/Purple_grapes/test/images/1730.png,640,640,1,27.9
72,100,/app/Datasets/Purple_grapes/test/images/1745.png,640,640,7,27.8
73,100,/app/Datasets/Purple_grapes/test/images/1756.png,640,640,5,27.9
74,100,/app/Datasets/Purple_grapes/test/images/1764.png,640,640,5,27.9
75,100,/app/Datasets/Purple_grapes/test/images/1770.png,640,640,7,27.8
76,100,/app/Datasets/Purple_grapes/test/images/1780.png,640,640,3,27.8
77,100,/app/Datasets/Purple_grapes/test/images/1785.png,640,640,6,27.7
78,100,/app/Datasets/Purple_grapes/test/images/1795.png,640,640,5,27.8
79,100,/app/Datasets/Purple_grapes/test/images/1804.png,640,640,6,27.6
80,100,/app/Datasets/Purple_grapes/test/images/1825.png,640,640,4,27.7
81,100,/app/Datasets/Purple_grapes/test/images/1832.png,640,640,7,27.8
82,100,/app/Datasets/Purple_grapes/test/images/1833.png,640,640,4,27.7
83,100,/app/Datasets/Purple_grapes/test/images/1857.png,640,640,5,27.9
84,100,/app/Datasets/Purple_grapes/test/images/1869.png,640,640,9,27.7
85,100,/app/Datasets/Purple_grapes/test/images/1878.png,640,640,1,27.8
86,100,/app/Datasets/Purple_grapes/test/images/1884.png,640,640,5,27.8
87,100,/app/Datasets/Purple_grapes/test/images/1890.png,640,640,8,27.8
88,100,/app/Datasets/Purple_grapes/test/images/1891.png,640,640,6,27.8
89,100,/app/Datasets/Purple_grapes/test/images/1905.png,640,640,3,27.8
90,100,/app/Datasets/Purple_grapes/test/images/1914.png,640,640,6,28.7
91,100,/app/Datasets/Purple_grapes/test/images/1920.png,640,640,8,27.7
92,100,/app/Datasets/Purple_grapes/test/images/1930.png,640,640,7,27.7
93,100,/app/Datasets/Purple_grapes/test/images/1949.png,640,640,4,27.7
94,100,/app/Datasets/Purple_grapes/test/images/955.png,640,640,3,27.8
95,100,/app/Datasets/Purple_grapes/test/images/959.png,640,640,2,27.8
96,100,/app/Datasets/Purple_grapes/test/images/961.png,640,640,3,27.8
97,100,/app/Datasets/Purple_grapes/test/images/987.png,640,640,1,27.7
98,100,/app/Datasets/Purple_grapes/test/images/989.png,640,640,6,27.8
99,100,/app/Datasets/Purple_grapes/test/images/991.png,640,640,2,27.5
100,100,/app/Datasets/Purple_grapes/test/images/997.png,640,640,2,27.6
