Image_Index,Total_Images,Image_Path,Width,Height,Object_Count,Time_ms
1,30,/app/Datasets/wgisd/test/images/CDY_2017.jpg,640,640,13,82.0
2,30,/app/Datasets/wgisd/test/images/CDY_20180427_153421615_BURST001.jpg,640,640,13,67.2
3,30,/app/Datasets/wgisd/test/images/CDY_2032.jpg,640,640,14,76.9
4,30,/app/Datasets/wgisd/test/images/CDY_2033.jpg,640,640,16,79.1
5,30,/app/Datasets/wgisd/test/images/CDY_2044.jpg,640,640,13,79.3
6,30,/app/Datasets/wgisd/test/images/CDY_2053.jpg,640,640,9,74.7
7,30,/app/Datasets/wgisd/test/images/CFR_1621.jpg,640,640,18,78.6
8,30,/app/Datasets/wgisd/test/images/CFR_1630.jpg,640,640,10,67.5
9,30,/app/Datasets/wgisd/test/images/CFR_1634.jpg,640,640,12,67.7
10,30,/app/Datasets/wgisd/test/images/CFR_1641.jpg,640,640,21,67.7
11,30,/app/Datasets/wgisd/test/images/CFR_1650.jpg,640,640,5,67.8
12,30,/app/Datasets/wgisd/test/images/CFR_1661.jpg,640,640,9,68.1
13,30,/app/Datasets/wgisd/test/images/CFR_20180427_141010086_HDR.jpg,640,640,13,67.7
14,30,/app/Datasets/wgisd/test/images/CFR_20180427_141115778_HDR.jpg,640,640,14,67.7
15,30,/app/Datasets/wgisd/test/images/CFR_20180427_141119803_HDR.jpg,640,640,14,74.1
16,30,/app/Datasets/wgisd/test/images/CFR_20180427_141224656.jpg,640,640,20,67.7
17,30,/app/Datasets/wgisd/test/images/CFR_20180427_141254316_HDR.jpg,640,640,9,74.6
18,30,/app/Datasets/wgisd/test/images/CSV_1867.jpg,640,640,10,76.7
19,30,/app/Datasets/wgisd/test/images/CSV_1874.jpg,640,640,12,74.1
20,30,/app/Datasets/wgisd/test/images/CSV_1881.jpg,640,640,7,80.0
21,30,/app/Datasets/wgisd/test/images/CSV_1892.jpg,640,640,8,76.4
22,30,/app/Datasets/wgisd/test/images/SVB_1947.jpg,640,640,17,76.5
23,30,/app/Datasets/wgisd/test/images/SVB_1970.jpg,640,640,18,75.1
24,30,/app/Datasets/wgisd/test/images/SVB_20180427_152106643_HDR.jpg,640,640,20,71.8
25,30,/app/Datasets/wgisd/test/images/SYH_2017-04-27_1265.jpg,640,640,8,72.4
26,30,/app/Datasets/wgisd/test/images/SYH_2017-04-27_1275.jpg,640,640,7,85.9
27,30,/app/Datasets/wgisd/test/images/SYH_2017-04-27_1285.jpg,640,640,19,76.1
28,30,/app/Datasets/wgisd/test/images/SYH_2017-04-27_1300.jpg,640,640,7,81.3
29,30,/app/Datasets/wgisd/test/images/SYH_2017-04-27_1312.jpg,640,640,15,76.7
30,30,/app/Datasets/wgisd/test/images/SYH_2017-04-27_1338.jpg,640,640,7,79.4
