Image_Index,Total_Images,Image_Path,Width,Height,Object_Count,Time_ms
1,30,/app/Datasets/wgisd/test/images/CDY_2017.jpg,640,640,12,32.2
2,30,/app/Datasets/wgisd/test/images/CDY_20180427_153421615_BURST001.jpg,640,640,13,27.4
3,30,/app/Datasets/wgisd/test/images/CDY_2032.jpg,640,640,14,27.5
4,30,/app/Datasets/wgisd/test/images/CDY_2033.jpg,640,640,16,27.5
5,30,/app/Datasets/wgisd/test/images/CDY_2044.jpg,640,640,13,27.4
6,30,/app/Datasets/wgisd/test/images/CDY_2053.jpg,640,640,9,27.5
7,30,/app/Datasets/wgisd/test/images/CFR_1621.jpg,640,640,17,27.6
8,30,/app/Datasets/wgisd/test/images/CFR_1630.jpg,640,640,10,27.4
9,30,/app/Datasets/wgisd/test/images/CFR_1634.jpg,640,640,13,27.5
10,30,/app/Datasets/wgisd/test/images/CFR_1641.jpg,640,640,21,27.5
11,30,/app/Datasets/wgisd/test/images/CFR_1650.jpg,640,640,5,27.3
12,30,/app/Datasets/wgisd/test/images/CFR_1661.jpg,640,640,9,27.6
13,30,/app/Datasets/wgisd/test/images/CFR_20180427_141010086_HDR.jpg,640,640,13,27.6
14,30,/app/Datasets/wgisd/test/images/CFR_20180427_141115778_HDR.jpg,640,640,13,27.7
15,30,/app/Datasets/wgisd/test/images/CFR_20180427_141119803_HDR.jpg,640,640,15,27.6
16,30,/app/Datasets/wgisd/test/images/CFR_20180427_141224656.jpg,640,640,20,27.6
17,30,/app/Datasets/wgisd/test/images/CFR_20180427_141254316_HDR.jpg,640,640,9,27.5
18,30,/app/Datasets/wgisd/test/images/CSV_1867.jpg,640,640,10,27.7
19,30,/app/Datasets/wgisd/test/images/CSV_1874.jpg,640,640,12,27.3
20,30,/app/Datasets/wgisd/test/images/CSV_1881.jpg,640,640,7,27.6
21,30,/app/Datasets/wgisd/test/images/CSV_1892.jpg,640,640,8,27.5
22,30,/app/Datasets/wgisd/test/images/SVB_1947.jpg,640,640,17,27.6
23,30,/app/Datasets/wgisd/test/images/SVB_1970.jpg,640,640,18,27.7
24,30,/app/Datasets/wgisd/test/images/SVB_20180427_152106643_HDR.jpg,640,640,20,28.0
25,30,/app/Datasets/wgisd/test/images/SYH_2017-04-27_1265.jpg,640,640,8,27.4
26,30,/app/Datasets/wgisd/test/images/SYH_2017-04-27_1275.jpg,640,640,7,28.3
27,30,/app/Datasets/wgisd/test/images/SYH_2017-04-27_1285.jpg,640,640,18,28.4
28,30,/app/Datasets/wgisd/test/images/SYH_2017-04-27_1300.jpg,640,640,7,28.3
29,30,/app/Datasets/wgisd/test/images/SYH_2017-04-27_1312.jpg,640,640,15,27.5
30,30,/app/Datasets/wgisd/test/images/SYH_2017-04-27_1338.jpg,640,640,7,27.5
